MONDO:0007492 {'OMIM:128100'}
MONDO:0007493 {'OMIM:128101'}
MONDO:0007495 {'OMIM:128230'}
MONDO:0007496 {'OMIM:128235'}
MONDO:0007497 {'OMIM:128290'}
MONDO:0007498 {'OMIM:128300'}
MONDO:0007499 {'OMIM:128500'}
MONDO:0007500 {'OMIM:128600'}
MONDO:0007501 {'OMIM:128700'}
MONDO:0007502 {'OMIM:128710'}
MONDO:0007503 {'OMIM:128800'}
MONDO:0007504 {'OMIM:128980'}
MONDO:0007505 {'OMIM:129000'}
MONDO:0007506 {'OMIM:129150'}
MONDO:0007507 {'OMIM:129200'}
MONDO:0007508 {'OMIM:129400'}
MONDO:0007509 {'OMIM:129490'}
MONDO:0007510 {'OMIM:129500'}
MONDO:0007511 {'OMIM:129510'}
MONDO:0007512 {'OMIM:129540'}
MONDO:0007513 {'OMIM:129550'}
MONDO:0007514 {'OMIM:129600'}
MONDO:0007515 {'OMIM:129750'}
MONDO:0007516 {'OMIM:129810'}
MONDO:0007517 {'OMIM:129830'}
MONDO:0007518 {'OMIM:129840'}
MONDO:0007519 {'OMIM:129850'}
MONDO:0007520 {'OMIM:129900'}
MONDO:0007521 {'OMIM:129905'}
MONDO:0007522 {'OMIM:130000'}
MONDO:0007523 {'OMIM:130020'}
MONDO:0007524 {'OMIM:130050'}
MONDO:0007525 {'OMIM:130060'}
MONDO:0007526 {'OMIM:130070'}
MONDO:0007527 {'OMIM:130080'}
MONDO:0007528 {'OMIM:130090'}
MONDO:0007529 {'OMIM:130100'}
MONDO:0007530 {'OMIM:130200'}
MONDO:0007531 {'OMIM:130300'}
MONDO:0007532 {'OMIM:130400'}
MONDO:0007533 {'OMIM:130600'}
MONDO:0007534 {'OMIM:130650'}
MONDO:0007535 {'OMIM:130700'}
MONDO:0007536 {'OMIM:130710'}
MONDO:0007537 {'OMIM:130720'}
MONDO:0007538 {'OMIM:130900'}
MONDO:0007539 {'OMIM:130950'}
MONDO:0007540 {'OMIM:131100'}
MONDO:0007541 {'OMIM:131200'}
MONDO:0007542 {'OMIM:131300'}
MONDO:0007543 {'OMIM:131375'}
MONDO:0007544 {'OMIM:131400'}
MONDO:0007545 {'OMIM:131430'}
MONDO:0007546 {'OMIM:131440'}
MONDO:0007547 {'OMIM:131600'}
MONDO:0007548 {'OMIM:131705'}
MONDO:0007549 {'OMIM:131750'}
MONDO:0007550 {'OMIM:131760'}
MONDO:0007551 {'OMIM:131800'}
MONDO:0007552 {'OMIM:131850'}
MONDO:0007553 {'OMIM:131880'}
MONDO:0007554 {'OMIM:131900'}
MONDO:0007555 {'OMIM:131950'}
MONDO:0007556 {'OMIM:131960'}
MONDO:0007557 {'OMIM:132000'}
MONDO:0007558 {'OMIM:132090'}
MONDO:0007559 {'OMIM:132100'}
MONDO:0007560 {'OMIM:132300'}
MONDO:0007561 {'OMIM:132400'}
MONDO:0007562 {'OMIM:132450'}
